			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	17	<pc>	11	<K1>	akIrti	</K1><K2>	akIrti	</K2>@<K2>	akīrti f.	</K2><p><LANG n = "RUSSIAN">	плохая репутация, позор	</LANG><p><LANG n = "ENGLISH">	ill-fame, disgrace 	</LANG><p><LANG n = "CZECH">	špatná pověst, hanba	<p>@<LEND>
<L>	18	<pc>	11	<K1>	akuRWita	</K1><K2>	akuRWita	</K2>@<K2>	akuṇṭhita	</K2><p><LANG n = "RUSSIAN">	непритупленный	</LANG><p><LANG n = "ENGLISH">	not blunted	</LANG><p><LANG n = "CZECH">	neotupený	<p>@<LEND>
<L>	19	<pc>	11	<K1>	akurvant	</K1><K2>	akurvant	</K2>@<K2>	akurvant	</K2><p><LANG n = "RUSSIAN">	не делающий, пропускающий	</LANG><p><LANG n = "ENGLISH">	not doing, omitting 	</LANG><p><LANG n = "CZECH">	nedělající, opomíjející	<p>@<LEND>
<L>	20	<pc>	11	<K1>	akroDa	</K1><K2>	akroDa	</K2>@<K2>	akrodha m.	</K2><p><LANG n = "RUSSIAN">	подавление гнева	</LANG><p><LANG n = "ENGLISH">	suppression of anger 	</LANG><p><LANG n = "CZECH">	nehněv, potlačení hněvu	<p>@<LEND>
<L>	21	<pc>	11	<K1>	akroDana	</K1><K2>	akroDana	</K2>@<K2>	akrodhana	</K2><p><LANG n = "RUSSIAN">	не сердящийся	</LANG><p><LANG n = "ENGLISH">	free from anger	</LANG><p><LANG n = "CZECH">	nehněvající se	<p>@<LEND>
<L>	22	<pc>	11	<K1>	aklizwa	</K1><K2>	aklizwa	</K2>@<K2>	akliṣṭa	</K2><p><LANG n = "RUSSIAN">	неутомленный, неутомимый	</LANG><p><LANG n = "ENGLISH">	unwearied, indefatigable	</LANG><p><LANG n = "CZECH">	neunavený, neúnavný	<p>@<LEND>
<L>	23	<pc>	11	<K1>	akza	</K1><K2>	akza	</K2>@<K2>	I akṣa m.	</K2><p><LANG n = "RUSSIAN">	 (игральная) кость; n. pr. имя демона	</LANG><p><LANG n = "ENGLISH">	a die for gambling; n. pr. name of a demon	</LANG><p><LANG n = "CZECH">	kostka (ke hře); n. pr. jméno démona	<p>@<LEND>
<L>	24	<pc>	11	<K1>	akza	</K1><K2>	akza	</K2>@<K2>	II akṣa m. 	</K2><p><LANG n = "RUSSIAN">	ось	</LANG><p><LANG n = "ENGLISH">	an axle	</LANG><p><LANG n = "CZECH">	osa	<p>@<LEND>
<L>	25	<pc>	11	<K1>	akza	</K1><K2>	akza	</K2>@<K2>	III akṣa n. (cf. caturakṣa) 	</K2><p><LANG n = "RUSSIAN">	орган чувства; -° глаз	</LANG><p><LANG n = "ENGLISH">	an organ of sense; -° the eye 	</LANG><p><LANG n = "CZECH">	smyslový orgán; -° oko	<p>@<LEND>
<L>	26	<pc>	11	<K1>	akzaja	</K1><K2>	akzaja	</K2>@<K2>	akṣaja	</K2><p><LANG n = "RUSSIAN">	данный органами чувств	</LANG><p><LANG n = "ENGLISH">	given by the organs of sense 	</LANG><p><LANG n = "CZECH">	daný smyslovými orgány	<p>@<LEND>
<L>	27	<pc>	11	<K1>	akzata	</K1><K2>	akzata	</K2>@<K2>	akṣata	</K2><p><LANG n = "RUSSIAN">	несокрушимый, неповрежденный; m. pl. неочищенное зерно	</LANG><p><LANG n = "ENGLISH">	not crushed, uninjured; m. pl. unhusked grains	</LANG><p><LANG n = "CZECH">	nedrcený, nepoškozený; m. pl. neloupané zrní	<p>@<LEND>
<L>	28	<pc>	11	<K1>	akzan	</K1><K2>	akzan	</K2>@<K2>	akṣan n.	</K2><p><LANG n = "RUSSIAN">	глаз	</LANG><p><LANG n = "ENGLISH">	the eye	</LANG><p><LANG n = "CZECH">	oko	<p>@<LEND>
<L>	29	<pc>	11	<K1>	akzama	</K1><K2>	akzama	</K2>@<K2>	akṣama	</K2><p><LANG n = "RUSSIAN">	непереносящий, неспособный	</LANG><p><LANG n = "ENGLISH">	unable to endure, unfit, incompetent	</LANG><p><LANG n = "CZECH">	nesnášející, neschopný	<p>@<LEND>
<L>	30	<pc>	12	<K1>	akzamAlA	</K1><K2>	akzamAlA	</K2>@<K2>	akṣamālā f., n. pr.	</K2><p><LANG n = "RUSSIAN">	имя женщины	</LANG><p><LANG n = "ENGLISH">	name of a woman 	</LANG><p><LANG n = "CZECH">	jméno ženy	<p>@<LEND>
<L>	31	<pc>	12	<K1>	akzara	</K1><K2>	akzara	</K2>@<K2>	akṣara n.	</K2><p><LANG n = "RUSSIAN">	слово, слог	</LANG><p><LANG n = "ENGLISH">	a word, syllable	</LANG><p><LANG n = "CZECH">	slovo, slabika	<p>@<LEND>
<L>	32	<pc>	12	<K1>	akzi	</K1><K2>	akzi	</K2>@<K2>	akṣi n., v. akṣan	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	33	<pc>	12	<K1>	akzita	</K1><K2>	akzita	</K2>@<K2>	akṣita	</K2><p><LANG n = "RUSSIAN">	неуничтоженный, неисчерпаемый	</LANG><p><LANG n = "ENGLISH">	not destroyed, inexhaustible 	</LANG><p><LANG n = "CZECH">	nezničený, nevyčerpatelný	<p>@<LEND>
<L>	34	<pc>	12	<K1>	akzoBya	</K1><K2>	akzoBya	</K2>@<K2>	akṣobhya	</K2><p><LANG n = "RUSSIAN">	недвижимый	</LANG><p><LANG n = "ENGLISH">	immovable	</LANG><p><LANG n = "CZECH">	nepohnutelný	<p>@<LEND>
<L>	35	<pc>	12	<K1>	aKila	</K1><K2>	aKila	</K2>@<K2>	akhila	</K2><p><LANG n = "RUSSIAN">	без пропусков, полный, весь	</LANG><p><LANG n = "ENGLISH">	having no gap, entire, all 	</LANG><p><LANG n = "CZECH">	bez mezer, úplný, všechen	<p>@<LEND>
<L>	36	<pc>	12	<K1>	aKKalIkftya	</K1><K2>	aKKalIkftya	</K2>@<K2>	akhkhalīkṛtya absol.	</K2><p><LANG n = "RUSSIAN">	когда выговаривают по слогам	</LANG><p><LANG n = "ENGLISH">	when syllabizing	</LANG><p><LANG n = "CZECH">	když slabikují	<p>@<LEND>
<L>	37	<pc>	12	<K1>	agati	</K1><K2>	agati	</K2>@<K2>	agati	</K2><p><LANG n = "RUSSIAN">	не ходящий, бессильный; f. неудача	</LANG><p><LANG n = "ENGLISH">	not going, helpless; f. unsuccessfulness	</LANG><p><LANG n = "CZECH">	nechodící, bezmocný; f. nezdar	<p>@<LEND>
<L>	38	<pc>	12	<K1>	agada	</K1><K2>	agada	</K2>@<K2>	agada m.	</K2><p><LANG n = "RUSSIAN">	лекарство, противоядие	</LANG><p><LANG n = "ENGLISH">	а medicine, antidote 	</LANG><p><LANG n = "CZECH">	lék, protijed	<p>@<LEND>
<L>	39	<pc>	12	<K1>	agADa	</K1><K2>	agADa	</K2>@<K2>	agādha	</K2><p><LANG n = "RUSSIAN">	не мелкий, глубокий	</LANG><p><LANG n = "ENGLISH">	not shallow, deep 	</LANG><p><LANG n = "CZECH">	ne mělký, hluboký	<p>@<LEND>
<L>	40	<pc>	12	<K1>	agAra	</K1><K2>	agAra	</K2>@<K2>	agāra n.	</K2><p><LANG n = "RUSSIAN">	дом	</LANG><p><LANG n = "ENGLISH">	a house	</LANG><p><LANG n = "CZECH">	dům	<p>@<LEND>
<L>	41	<pc>	12	<K1>	aguRa	</K1><K2>	aguRa	</K2>@<K2>	aguṇa	</K2><p><LANG n = "RUSSIAN">	без атрибутов, без преимуществ; m. недостаток, ошибка	</LANG><p><LANG n = "ENGLISH">	having no attributes or virtues; m. a fault	</LANG><p><LANG n = "CZECH">	bez attributů, bez předností; m. vada, chyba	<p>@<LEND>
<L>	42	<pc>	12	<K1>	agfDnu	</K1><K2>	agfDnu	</K2>@<K2>	agṛdhnu	</K2><p><LANG n = "RUSSIAN">	без скупости	</LANG><p><LANG n = "ENGLISH">	free from avarice	</LANG><p><LANG n = "CZECH">	prost lakoty	<p>@<LEND>
<L>	43	<pc>	12	<K1>	agocara	</K1><K2>	agocara	</K2>@<K2>	agocara	</K2><p><LANG n = "RUSSIAN">	недоступный, недосягаемый	</LANG><p><LANG n = "ENGLISH">	unattainable, beyond the range 	</LANG><p><LANG n = "CZECH">	nedostupný, mimo dosah jsouc í	<p>@<LEND>
<L>	44	<pc>	12	<K1>	agni	</K1><K2>	agni	</K2>@<K2>	agni m.	</K2><p><LANG n = "RUSSIAN">	огонь, бог огня	</LANG><p><LANG n = "ENGLISH">	fire, the god of fire 	</LANG><p><LANG n = "CZECH">	oheň, bůh ohně	<p>@<LEND>
<L>	45	<pc>	12	<K1>	agnitva	</K1><K2>	agnitva	</K2>@<K2>	 +agnitva n. abstr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	46	<pc>	12	<K1>	agnimant	</K1><K2>	agnimant	</K2>@<K2>	agnimant	</K2><p><LANG n = "RUSSIAN">	поддерживающий жертвенный огонь	</LANG><p><LANG n = "ENGLISH">	maintaining a sacrificial fire 	</LANG><p><LANG n = "CZECH">	udržující obětní oheň	<p>@<LEND>
<L>	47	<pc>	12	<K1>	agnimitra	</K1><K2>	agnimitra	</K2>@<K2>	agnimitra m., agnisvāmin m., n. pr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	48	<pc>	12	<K1>	agnihotra	</K1><K2>	agnihotra	</K2>@<K2>	agnihotra n.	</K2><p><LANG n = "RUSSIAN">	жертва Агни	</LANG><p><LANG n = "ENGLISH">	an oblation to Agni	</LANG><p><LANG n = "CZECH">	oběť Agnimu	<p>@<LEND>
<L>	49	<pc>	12	<K1>	agra	</K1><K2>	agra	</K2>@<K2>	agra n.	</K2><p><LANG n = "RUSSIAN">	кончик, вершина, начало; -° а. первый, выдающийся	</LANG><p><LANG n = "ENGLISH">	а tip, summit, beginning; -° a. chief, excellent	</LANG><p><LANG n = "CZECH">	špička, vrchol začátek; -° a. přední, vynikající	<p>@<LEND>
<L>	50	<pc>	12	<K1>	agram	</K1><K2>	agram	</K2>@<K2>	agram, agre adv., prep. + gen. 	</K2><p><LANG n = "RUSSIAN">	впереди, перед	</LANG><p><LANG n = "ENGLISH">	before	</LANG><p><LANG n = "CZECH">	vpředu, před	<p>@<LEND>
<L>	51	<pc>	12	<K1>	agre	</K1><K2>	agre	</K2>@<K2>	agre adv.	</K2><p><LANG n = "RUSSIAN">	прежде всего, в начале, впереди	</LANG><p><LANG n = "ENGLISH">	at first, in the beginning, in front 	</LANG><p><LANG n = "CZECH">	nejdříve, nа začátku, vpředu	<p>@<LEND>
<L>	52	<pc>	12	<K1>	agratas	</K1><K2>	agratas	</K2>@<K2>	agratas adv., prep. + gen.	</K2><p><LANG n = "RUSSIAN">	перед	</LANG><p><LANG n = "ENGLISH">	before	</LANG><p><LANG n = "CZECH">	před	<p>@<LEND>
<L>	53	<pc>	12	<K1>	agrahAra	</K1><K2>	agrahAra	</K2>@<K2>	agrahāra m.	</K2><p><LANG n = "RUSSIAN">	земельный участок подаренный брахманам	</LANG><p><LANG n = "ENGLISH">	donation of land to brāhmans 	</LANG><p><LANG n = "CZECH">	pozemek darovaný bráhmanům	<p>@<LEND>
<L>	54	<pc>	12	<K1>	agriya	</K1><K2>	agriya	</K2>@<K2>	agriya, agrya	</K2><p><LANG n = "RUSSIAN">	первый, выдающийся	</LANG><p><LANG n = "ENGLISH">	chief, eminent	</LANG><p><LANG n = "CZECH">	přední, vynikající	<p>@<LEND>
<L>	55	<pc>	12	<K1>	aGa	</K1><K2>	aGa	</K2>@<K2>	agha	</K2><p><LANG n = "RUSSIAN">	злой, плохой, грешный; n. зло, вред, грех	</LANG><p><LANG n = "ENGLISH">	evil, bad, sinful; n. an evil, harm, sin	</LANG><p><LANG n = "CZECH">	zlý, špatný, hříšný; n. zlo, škoda, hřích	<p>@<LEND>
<L>	56	<pc>	12	<K1>	aGaSaMsa	</K1><K2>	aGaSaMsa	</K2>@<K2>	aghaśaṃsa	</K2><p><LANG n = "RUSSIAN">	кто желает зла, оскорбительный	</LANG><p><LANG n = "ENGLISH">	wishing evil, slanderous 	</LANG><p><LANG n = "CZECH">	kdo přeje zlo, utrhačný	<p>@<LEND>
<L>	57	<pc>	12	<K1>	aGoracakzus	</K1><K2>	aGoracakzus	</K2>@<K2>	aghoracakṣus	</K2><p><LANG n = "RUSSIAN">	не обладающий дурным глазом	</LANG><p><LANG n = "ENGLISH">	not evil-eyed 	</LANG><p><LANG n = "CZECH">	nemající uhrančivý pohled	<p>@<LEND>
<L>	58	<pc>	12	<K1>	aGnya	</K1><K2>	aGnya	</K2>@<K2>	aghnya m.	</K2><p><LANG n = "RUSSIAN">	бык	</LANG><p><LANG n = "ENGLISH">	a bull	</LANG><p><LANG n = "CZECH">	býk	<p>@<LEND>
<L>	59	<pc>	12	<K1>	aGnyA	</K1><K2>	aGnyA	</K2>@<K2>	aghnyā f.	</K2><p><LANG n = "RUSSIAN">	корова	</LANG><p><LANG n = "ENGLISH">	a cow	</LANG><p><LANG n = "CZECH">	kráva	<p>@<LEND>
<L>	60	<pc>	13	<K1>	aNka	</K1><K2>	aNka	</K2>@<K2>	aṅka m.	</K2><p><LANG n = "RUSSIAN">	крюк, изгиб, лоно, бок; линия, знамение; действие драмы	</LANG><p><LANG n = "ENGLISH">	а hook, bend, lap, flank; line, mark; act of a drama	</LANG><p><LANG n = "CZECH">	hák, ohyb, klín, bok; čára, znamení; akt dramatu	<p>@<LEND>
<L>	61	<pc>	13	<K1>	aNkura	</K1><K2>	aNkura	</K2>@<K2>	aṅkura m.	</K2><p><LANG n = "RUSSIAN">	побег, ветка	</LANG><p><LANG n = "ENGLISH">	a shoot, sprout -vant poss.	</LANG><p><LANG n = "CZECH">	výhonek, ratolest	<p>@<LEND>
<L>	62	<pc>	13	<K1>	aNkuravant	</K1><K2>	aNkuravant	</K2>@<K2>	 +aṅkuravant poss.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	63	<pc>	13	<K1>	aNkuSa	</K1><K2>	aNkuSa	</K2>@<K2>	aṅkuśa m.	</K2><p><LANG n = "RUSSIAN">	крюк, острие	</LANG><p><LANG n = "ENGLISH">	a hook, goad (esp. of an elephant-driver) 	</LANG><p><LANG n = "CZECH">	hak, bodec	<p>@<LEND>
<L>	64	<pc>	13	<K1>	aNga	</K1><K2>	aNga	</K2>@<K2>	I aṅga pcl.	</K2><p><LANG n = "RUSSIAN">	ну, право	</LANG><p><LANG n = "ENGLISH">	well, indeed	</LANG><p><LANG n = "CZECH">	nu, věru	<p>@<LEND>
<L>	65	<pc>	13	<K1>	aNga	</K1><K2>	aNga	</K2>@<K2>	II aṅga n.	</K2><p><LANG n = "RUSSIAN">	орган, тело, часть, составная часть; основа слова	</LANG><p><LANG n = "ENGLISH">	а limb of the body, the body, a part; the base of a word	</LANG><p><LANG n = "CZECH">	úd, tělo, část, součást; kmen slova	<p>@<LEND>
<L>	66	<pc>	13	<K1>	aNgada	</K1><K2>	aNgada	</K2>@<K2>	aṅgada n.	</K2><p><LANG n = "RUSSIAN">	браслет	</LANG><p><LANG n = "ENGLISH">	a bracelet	</LANG><p><LANG n = "CZECH">	náramek	<p>@<LEND>
<L>	67	<pc>	13	<K1>	aNganA	</K1><K2>	aNganA	</K2>@<K2>	aṅganā f.	</K2><p><LANG n = "RUSSIAN">	женщина, самочка	</LANG><p><LANG n = "ENGLISH">	any woman or female 	</LANG><p><LANG n = "CZECH">	žena, samička	<p>@<LEND>
<L>	68	<pc>	13	<K1>	aNgiras	</K1><K2>	aNgiras	</K2>@<K2>	aṅgiras m.	</K2><p><LANG n = "RUSSIAN">	имя риши и его потомков (особенно имя Агни) 	</LANG><p><LANG n = "ENGLISH">	name of а ṛṣi and his descendants (esp. of Agni) 	</LANG><p><LANG n = "CZECH">	jméno ṛṣiho a jeho роtomků (zvláště Agniho) 	<p>@<LEND>
<L>	69	<pc>	13	<K1>	aNgIkar	</K1><K2>	aNgIkar	</K2>@<K2>	aṅgī-kar karoti	</K2><p><LANG n = "RUSSIAN">	взять на себя, присвоить, обещать, одобрить	</LANG><p><LANG n = "ENGLISH">	to take on, make one's own, promise, approve	</LANG><p><LANG n = "CZECH">	vzíti na sebe, přivlastniti si, slíbiti, schváliti	<p>@<LEND>
<L>	70	<pc>	13	<K1>	aNguli	</K1><K2>	aNguli	</K2>@<K2>	aṅguli, -ī f.	</K2><p><LANG n = "RUSSIAN">	палец, большой палец	</LANG><p><LANG n = "ENGLISH">	a finger, toe; the thumb, the great toe	</LANG><p><LANG n = "CZECH">	prst, palec	<p>@<LEND>
<L>	71	<pc>	13	<K1>	ac	</K1><K2>	ac	</K2>@<K2>	√ac acati, añcati, -te pp. akna 	</K2><p><LANG n = "RUSSIAN">	сгибать; итти; почитать	</LANG><p><LANG n = "ENGLISH">	to bend; go; honour 	</LANG><p><LANG n = "CZECH">	ohýbati; jíti; uctívati	<p>@<LEND>
<L>	72	<pc>	13	<K1>	udac	</K1><K2>	udac	</K2>@<K2>	 +ud (udac)	</K2><p><LANG n = "RUSSIAN">	поднять, вытянуть	</LANG><p><LANG n = "ENGLISH">	to draw up, raise up 	</LANG><p><LANG n = "CZECH">	zvednouti, vytáhnouti	<p>@<LEND>
<L>	73	<pc>	13	<K1>	acarita	</K1><K2>	acarita	</K2>@<K2>	acarita	</K2><p><LANG n = "RUSSIAN">	непроходимый	</LANG><p><LANG n = "ENGLISH">	impassable	</LANG><p><LANG n = "CZECH">	neschůdný 	<p>@<LEND>
<L>	74	<pc>	13	<K1>	acala	</K1><K2>	acala	</K2>@<K2>	acala	</K2><p><LANG n = "RUSSIAN">	неподвижный; m. гора	</LANG><p><LANG n = "ENGLISH">	not moving; m. a mountain 	</LANG><p><LANG n = "CZECH">	nehybný; m. hora	<p>@<LEND>
<L>	75	<pc>	13	<K1>	acitta	</K1><K2>	acitta	</K2>@<K2>	acitta	</K2><p><LANG n = "RUSSIAN">	без мыслей, без чувств	</LANG><p><LANG n = "ENGLISH">	thoughtless, destitute of sense 	</LANG><p><LANG n = "CZECH">	bez myšlenky, bez citu	<p>@<LEND>
<L>	76	<pc>	13	<K1>	acintayant	</K1><K2>	acintayant	</K2>@<K2>	acintayant	</K2><p><LANG n = "RUSSIAN">	не думающий, не обращающий внимания	</LANG><p><LANG n = "ENGLISH">	not thinking, neglecting 	</LANG><p><LANG n = "CZECH">	nemyslící, nedbající	<p>@<LEND>
<L>	77	<pc>	13	<K1>	acintya	</K1><K2>	acintya	</K2>@<K2>	acintya	</K2><p><LANG n = "RUSSIAN">	непонятный	</LANG><p><LANG n = "ENGLISH">	incomprehensible	</LANG><p><LANG n = "CZECH">	nepochopitelný	<p>@<LEND>
<L>	78	<pc>	13	<K1>	acCa	</K1><K2>	acCa	</K2>@<K2>	acchā̆ (adv., prep.) 	</K2><p><LANG n = "RUSSIAN">	близко; к	</LANG><p><LANG n = "ENGLISH">	close by; to, towards 	</LANG><p><LANG n = "CZECH">	blízko; k	<p>@<LEND>
<L>	79	<pc>	13	<K1>	acCidra	</K1><K2>	acCidra	</K2>@<K2>	acchidra	</K2><p><LANG n = "RUSSIAN">	без трещин, непрерывный	</LANG><p><LANG n = "ENGLISH">	free from clefts, uninterrupted, unhurt	</LANG><p><LANG n = "CZECH">	bez trhlin, nepřetržitý	<p>@<LEND>
<L>	80	<pc>	13	<K1>	acCinna	</K1><K2>	acCinna	</K2>@<K2>	acchinna	</K2><p><LANG n = "RUSSIAN">	непрерываемый, неразделенный	</LANG><p><LANG n = "ENGLISH">	uninterrupted, undivided 	</LANG><p><LANG n = "CZECH">	nepřerušený, nedělený	<p>@<LEND>
<L>	81	<pc>	13	<K1>	acyutacyut	</K1><K2>	acyutacyut	</K2>@<K2>	acyutacyut	</K2><p><LANG n = "RUSSIAN">	колеблющий непоколебимого	</LANG><p><LANG n = "ENGLISH">	shaking unshakable objects 	</LANG><p><LANG n = "CZECH">	otřásající neotřesitelným	<p>@<LEND>
<L>	82	<pc>	13	<K1>	aj	</K1><K2>	aj	</K2>@<K2>	√aj ajati, ajate	</K2><p><LANG n = "RUSSIAN">	гнать	</LANG><p><LANG n = "ENGLISH">	to drive	</LANG><p><LANG n = "CZECH">	hnáti	<p>@<LEND>
<L>	83	<pc>	13	<K1>	udaj	</K1><K2>	udaj	</K2>@<K2>	 +ud (udaj)	</K2><p><LANG n = "RUSSIAN">	выгонять	</LANG><p><LANG n = "ENGLISH">	to drive out 	</LANG><p><LANG n = "CZECH">	vyháněti	<p>@<LEND>
<L>	84	<pc>	13	<K1>	aja	</K1><K2>	aja	</K2>@<K2>	I aja m.	</K2><p><LANG n = "RUSSIAN">	козел	</LANG><p><LANG n = "ENGLISH">	a he-goat 	</LANG><p><LANG n = "CZECH">	kozel	<p>@<LEND>
<L>	85	<pc>	13	<K1>	ajA	</K1><K2>	ajA	</K2>@<K2>	ajā f.	</K2><p><LANG n = "RUSSIAN">	коза	</LANG><p><LANG n = "ENGLISH">	a she-goat	</LANG><p><LANG n = "CZECH">	koza	<p>@<LEND>
<L>	86	<pc>	13	<K1>	aja	</K1><K2>	aja	</K2>@<K2>	II aja	</K2><p><LANG n = "RUSSIAN">	нерожденный	</LANG><p><LANG n = "ENGLISH">	unborn	</LANG><p><LANG n = "CZECH">	nezrozený	<p>@<LEND>
<L>	87	<pc>	13	<K1>	ajamAyu	</K1><K2>	ajamAyu	</K2>@<K2>	ajamāyu	</K2><p><LANG n = "RUSSIAN">	блеющий как коза	</LANG><p><LANG n = "ENGLISH">	bleating like a goat 	</LANG><p><LANG n = "CZECH">	mečící jako koza	<p>@<LEND>
<L>	88	<pc>	13	<K1>	ajAta	</K1><K2>	ajAta	</K2>@<K2>	ajāta	</K2><p><LANG n = "RUSSIAN">	нерожденный; невзошедший	</LANG><p><LANG n = "ENGLISH">	unborn; one that did not come up (as seed) 	</LANG><p><LANG n = "CZECH">	nezrozený; nevzešlý	<p>@<LEND>
<L>	89	<pc>	13	<K1>	ajAnant	</K1><K2>	ajAnant	</K2>@<K2>	ajānant	</K2><p><LANG n = "RUSSIAN">	незнающий	</LANG><p><LANG n = "ENGLISH">	not knowing	</LANG><p><LANG n = "CZECH">	neznající	<p>@<LEND>
